Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30,Question 31,Question 32,Question 33,Question 34,Question 35,Dominant_Dosha,Prakriti,Agni
Medium,Optimum – as per age and height,Wheatish,Golden/ brown,"Small, dry, white part of eye is turbid (not clear white)",Yellowish red (pink),"Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Normal temperature (neither cold nor hot),"Joints are strong, well covered with muscles, bony prominences cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Sweet, sour, salty",Moderate,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Not much,Sometimes,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With moderate energy,Slow to grasp things but understands completely,Long-term memory,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Scary, flying, running, jumping, climbing on a tree or mountain","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Wheatish,Black,"Big, attractive, black eyes (iris), white part of eye is milky white",Slightly thin,"Very small/ very big, teeth pushed forward, can be seen out of lips, broken, irregular in shape and size, dry","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Normal temperature (neither cold nor hot),"Joints are strong, well covered with muscles, bony prominences cannot be seen",Size of stomach is medium/optimum (medium belly),Low hunger – can skip one meal,Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,"Sometimes too much in quantity, sometimes too less","Sweet, sour, salty",Moderate,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Not much,"Sometimes too much, sometimes too less",Very fast. Some words are not clearly spoken. Few words are not audible to people around.,Fast,Medium speed,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",With moderate energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Thin,Underweight (in relation to height),Dusky,Black,"Small, white part of eye is yellow/red, Brown eyes (iris)",Slightly thin,"Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Normal temperature (neither cold nor hot),"Joints are strong, well covered with muscles, bony prominences cannot be seen",Stomach is lean (lean belly),Low hunger – can skip one meal,Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,"Sometimes too much in quantity, sometimes too less","Spicy, bitter, astringent",Moderate,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Not much,"Sometimes too much, sometimes too less",Slowly. Calmly. Emphasizing on each word while speaking,Fast,Medium speed,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",With moderate energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Scary, flying, running, jumping, climbing on a tree or mountain","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Vata-Pitta,Tikshna-Agni
Thin,Underweight (in relation to height),Wheatish,Black,"Small, white part of eye is yellow/red, Brown eyes (iris)",Yellowish red (pink),"Very small/ very big, teeth pushed forward, can be seen out of lips, broken, irregular in shape and size, dry","Long, shiny, Reddish-white",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Body feels warm all time,Crepitus is heard on movements of joints,Stomach is lean (lean belly),Intense hunger – cannot control hunger,Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Sweet, sour, salty",Not much,Warm,"Sometimes warm, sometimes cold",Not much,Sometimes,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Medium speed,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",Sometimes with low energy/ lethargy,Slow to grasp things but understands completely,Low memory – remembers for 2-3 months,Remembers after speaking-repeating many times,Moderate. 5-7 hours,Excess dreams,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Vata,Vata-Pitta-Kapha,Sama-Agni
Medium,Optimum – as per age and height,Wheatish,Black,"Small, dry, white part of eye is turbid (not clear white)","Reddish/ pinkish, attractive, beautiful","Ivory white, attractive shape, even-sized","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Body feels warm all time,"Joints are strong, well covered with muscles, bony prominences cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Spicy, bitter, astringent",Moderate,Cold,"Sometimes warm, sometimes cold",Not much,Excess – excess as compared to people around,Slowly. Calmly. Emphasizing on each word while speaking,Slow. Walks like an elephant stepping foot properly on the ground,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,Sometimes with low energy/ lethargy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Scary, flying, running, jumping, climbing on a tree or mountain","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Dusky,Black,"Big, attractive, black eyes (iris), white part of eye is milky white",Slightly thin,"Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish","Rough, cracked","Soft, delicate, smooth, oily (unctuous)","Good endurance, can easily perform strenuous activities, can carry heavy loads, does not experience fatigue easily, can work all day",Body feels warm all time,"Joints, bones cannot be seen",Size of stomach is medium/optimum (medium belly),Low hunger – can skip one meal,Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,"Sometimes too much in quantity, sometimes too less","Sweet, bitter, astringent",Not much,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Many a times,"Sometimes too much, sometimes too less",Very fast,Fast,Medium speed,Always impulsive,With moderate energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Less sleep. Breaks in between. Not continuous or sound sleep,Sometimes,"Anger, fighting, quarrelling, dream about bright light, sun, gold","Very angrily, very impulsive",Pitta,Vata-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Fair,Black,"Small, dry, white part of eye is turbid (not clear white)","Reddish/ pinkish, attractive, beautiful","Ivory white, attractive shape, even-sized","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,Delicate,"Good endurance, can easily perform strenuous activities, can carry heavy loads, does not experience fatigue easily, can work all day",Normal temperature (neither cold nor hot),Crepitus is heard on movements of joints,Stomach is lean (lean belly),Intense hunger – cannot control hunger,Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Sweet, sour, salty",Moderate,"Sometimes warm, sometimes cold",Cold,Not much,Sometimes,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Very fast,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With high energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Wheatish,Black,"Small, white part of eye is yellow/red, Brown eyes (iris)",Yellowish red (pink),"Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Body feels warm all time,"Joints, bones cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Spicy, bitter, astringent",Moderate,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Not much,"Sometimes too much, sometimes too less",Slowly. Calmly. Emphasizing on each word while speaking,Fast,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With moderate energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Wheatish,Black,"Small, dry, white part of eye is turbid (not clear white)",Yellowish red (pink),"Ivory white, attractive shape, even-sized","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Dry, rough, looks like dried twig",Medium strength,Normal temperature (neither cold nor hot),"Joints are strong, well covered with muscles, bony prominences cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Sweet, sour, salty",Moderate,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Not much,Sometimes,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With moderate energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Anger, fighting, quarrelling, dream about bright light, sun, gold","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Wheatish,Black,"Small, white part of eye is yellow/red, Brown eyes (iris)",Yellowish red (pink),"Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Normal temperature (neither cold nor hot),"Joints are strong, well covered with muscles, bony prominences cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)","Digestive capacity is erratic – sometimes good, sometimes low. Sometimes ingestion leads to excess burping",Moderate – not too much or too less,"Spicy, bitter, astringent",Moderate,"Sometimes warm, sometimes cold",Warm,Not much,Excess – excess as compared to people around,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With moderate energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Scary, flying, running, jumping, climbing on a tree or mountain","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Fair,Black,"Big, attractive, black eyes (iris), white part of eye is milky white","Reddish/ pinkish, attractive, beautiful","Very small/ very big, teeth pushed forward, can be seen out of lips, broken, irregular in shape and size, dry","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)","Good endurance, can easily perform strenuous activities, can carry heavy loads, does not experience fatigue easily, can work all day",Normal temperature (neither cold nor hot),"Joints are strong, well covered with muscles, bony prominences cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Sweet, sour, salty",Excess thirst. Needs to drink more water even in cold season,"Sometimes warm, sometimes cold",Cold,Not much,Sometimes,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Very slow,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With high energy,Very quick to grasp things,Long-term memory,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Anger, fighting, quarrelling, dream about bright light, sun, gold","After proper thinking, calmly, slowly. Generally is firm on decision",Kapha,Kapha-Pitta,Manda-Agni
Thin,Optimum – as per age and height,Fair,Black,"Big, attractive, black eyes (iris), white part of eye is milky white","Reddish/ pinkish, attractive, beautiful","Ivory white, attractive shape, even-sized","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Normal temperature (neither cold nor hot),Crepitus is heard on movements of joints,Stomach is lean (lean belly),"Irregular (sometimes intense, sometimes low hunger)",Low digestive capacity. Sometimes there is no desire to have food in the evening.,Moderate – not too much or too less,"Sweet, sour, salty",Not much,Cold,Cold,Always pass liquid stools,Sometimes,Very fast,Fast,Very fast,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",With high energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after speaking-repeating many times,Moderate. 5-7 hours,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Thin,Underweight (in relation to height),Wheatish,Black,"Big, attractive, black eyes (iris), white part of eye is milky white","Reddish/ pinkish, attractive, beautiful","Ivory white, attractive shape, even-sized","Long, shiny, Reddish-white",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Normal temperature (neither cold nor hot),"Joints, bones cannot be seen",Stomach is lean (lean belly),"Irregular (sometimes intense, sometimes low hunger)","Digestive capacity is erratic – sometimes good, sometimes low. Sometimes ingestion leads to excess burping",Moderate – not too much or too less,"Sweet, sour, salty",Moderate,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Not much,"Sometimes too much, sometimes too less",Very fast. Some words are not clearly spoken. Few words are not audible to people around.,Slow. Walks like an elephant stepping foot properly on the ground,Medium speed,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",Sometimes with low energy/ lethargy,Slow to grasp things but understands completely,Low memory – remembers for 2-3 months,Remembers after speaking-repeating many times,"Excessive sleep. More than 8 hours, sound, continuous, deep sleep",Excess dreams,"Anger, fighting, quarrelling, dream about bright light, sun, gold","Very stressed, confused, changes decision, unable to come to conclusion/ final decision",Vata,Vata-Kapha,Vishama-Agni
Medium,Optimum – as per age and height,Fair,Black,"Big, attractive, black eyes (iris), white part of eye is milky white",Yellowish red (pink),"Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish",Delicate/ small,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Body feels warm all time,Crepitus is heard on movements of joints,Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)","Digestive capacity is erratic – sometimes good, sometimes low. Sometimes ingestion leads to excess burping",Moderate – not too much or too less,"Spicy, bitter, astringent",Moderate,Warm,Warm,Not much,Sometimes,Very fast. Some words are not clearly spoken. Few words are not audible to people around.,Fast,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With moderate energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Wheatish,Black,"Small, dry, white part of eye is turbid (not clear white)","Reddish/ pinkish, attractive, beautiful","Very small/ very big, teeth pushed forward, can be seen out of lips, broken, irregular in shape and size, dry","Small, beautiful, reddish/pinkish",Delicate/ small,Delicate,Medium strength,"Low, hands and feet feel cold even in summers",Crepitus is heard on movements of joints,Size of stomach is medium/optimum (medium belly),Intense hunger – cannot control hunger,Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Spicy, bitter, astringent",Not much,Warm,"Sometimes warm, sometimes cold",Not much,Sometimes,Very fast,Fast,Medium speed,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",With moderate energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Wheatish,Black,"Small, dry, white part of eye is turbid (not clear white)","Reddish/ pinkish, attractive, beautiful","Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,"Low, hands and feet feel cold even in summers",Crepitus is heard on movements of joints,Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Spicy, bitter, astringent",Not much,Warm,"Sometimes warm, sometimes cold",Not much,Sometimes,Very fast,Fast,Medium speed,Always impulsive,With moderate energy,Slow to grasp things but understands completely,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Excess dreams,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Dusky,Black,"Big, attractive, black eyes (iris), white part of eye is milky white","Reddish/ pinkish, attractive, beautiful","Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish",Delicate/ small,Delicate,Medium strength,Body feels warm all time,"Joints are strong, well covered with muscles, bony prominences cannot be seen",Abdominal obesity (large belly),Low hunger – can skip one meal,Low digestive capacity. Sometimes there is no desire to have food in the evening.,Moderate – not too much or too less,"Spicy, bitter, astringent",Moderate,Warm,Cold,Not much,Excess – excess as compared to people around,Very fast,Fast,Very fast,Always impulsive,With moderate energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Less sleep. Breaks in between. Not continuous or sound sleep,Sometimes,"Scary, flying, running, jumping, climbing on a tree or mountain","Very stressed, confused, changes decision, unable to come to conclusion/ final decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Underweight (in relation to height),Fair,Black,"Small, dry, white part of eye is turbid (not clear white)",Yellowish red (pink),"Medium size, yellowish or yellow coloured","Small, beautiful, reddish/pinkish","Rough, cracked",Delicate,Medium strength,Normal temperature (neither cold nor hot),"Joints, bones cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)","Digestive capacity is erratic – sometimes good, sometimes low. Sometimes ingestion leads to excess burping",Moderate – not too much or too less,"Sweet, sour, salty",Moderate,Warm,"Sometimes warm, sometimes cold",Not much,Sometimes,Slowly. Calmly. Emphasizing on each word while speaking,Slow. Walks like an elephant stepping foot properly on the ground,Medium speed,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",With moderate energy,Slow to grasp things but understands completely,Low memory – remembers for 2-3 months,Remembers after reading for 3-4 times,"Excessive sleep. More than 8 hours, sound, continuous, deep sleep",Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","Very stressed, confused, changes decision, unable to come to conclusion/ final decision",Kapha,Kapha-Pitta,Manda-Agni
Medium,Optimum – as per age and height,Wheatish,Black,"Big, attractive, black eyes (iris), white part of eye is milky white",Yellowish red (pink),"Ivory white, attractive shape, even-sized","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Normal temperature (neither cold nor hot),"Joints, bones cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Spicy, bitter, astringent",Not much,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Not much,Sometimes,Very fast,Brisk/ rapid. Walks like one’s running,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With moderate energy,Slow to grasp things but understands completely,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Dusky,Black,"Small, white part of eye is yellow/red, Brown eyes (iris)","Reddish/ pinkish, attractive, beautiful","Ivory white, attractive shape, even-sized","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Normal temperature (neither cold nor hot),Crepitus is heard on movements of joints,Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,"Sometimes too much in quantity, sometimes too less","Sweet, sour, salty",Not much,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Many a times,"Sometimes too much, sometimes too less",Slowly. Calmly. Emphasizing on each word while speaking,Brisk/ rapid. Walks like one’s running,Medium speed,"Cannot tell. Sometimes react impulsively, sometimes give no reaction.",With moderate energy,Slow to grasp things but understands completely,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Anger, fighting, quarrelling, dream about bright light, sun, gold","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Vata-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Dusky,Black,"Small, white part of eye is yellow/red, Brown eyes (iris)",Yellowish red (pink),"Ivory white, attractive shape, even-sized","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)",Medium strength,Normal temperature (neither cold nor hot),"Joints are strong, well covered with muscles, bony prominences cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Sweet, bitter, astringent",Not much,Warm,"Sometimes warm, sometimes cold",Not much,Excess – excess as compared to people around,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With moderate energy,Slow to grasp things but understands completely,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","Very stressed, confused, changes decision, unable to come to conclusion/ final decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Wheatish,Black,"Small, dry, white part of eye is turbid (not clear white)",Slightly thin,"Very small/ very big, teeth pushed forward, can be seen out of lips, broken, irregular in shape and size, dry","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,Delicate,Medium strength,Normal temperature (neither cold nor hot),"Joints are strong, well covered with muscles, bony prominences cannot be seen",Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)","Digestive capacity is erratic – sometimes good, sometimes low. Sometimes ingestion leads to excess burping",Moderate – not too much or too less,"Sweet, bitter, astringent",Moderate,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Not much,Sometimes,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With high energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Pitta,Kapha-Pitta,Tikshna-Agni
Medium,Optimum – as per age and height,Fair,Black,"Big, attractive, black eyes (iris), white part of eye is milky white","Reddish/ pinkish, attractive, beautiful","Medium size, yellowish or yellow coloured","Broken, uneven, dry, rough",Delicate/ small,"Soft, delicate, smooth, oily (unctuous)","Good endurance, can easily perform strenuous activities, can carry heavy loads, does not experience fatigue easily, can work all day",Normal temperature (neither cold nor hot),Crepitus is heard on movements of joints,Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Sweet, bitter, astringent",Not much,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Not much,Sometimes,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Very fast,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With moderate energy,Very quick to grasp things,Long-term memory,Remembers after reading even once,"Excessive sleep. More than 8 hours, sound, continuous, deep sleep",Sometimes,"Dreams about sea, ponds, lotuses, reservoirs, swans, thundering clouds, gardens, love/affection","After proper thinking, calmly, slowly. Generally is firm on decision",Kapha,Kapha-Pitta,Manda-Agni
Medium,Optimum – as per age and height,Fair,Black,"Small, white part of eye is yellow/red, Brown eyes (iris)","Reddish/ pinkish, attractive, beautiful","Ivory white, attractive shape, even-sized","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)","Good endurance, can easily perform strenuous activities, can carry heavy loads, does not experience fatigue easily, can work all day","Low, hands and feet feel cold even in summers","Joints are strong, well covered with muscles, bony prominences cannot be seen",Stomach is lean (lean belly),"Irregular (sometimes intense, sometimes low hunger)",Very good. Food taken as per hunger gets digested in 3-4 hours and after that there is manifestation of proper hunger again.,Moderate – not too much or too less,"Sweet, sour, salty",Moderate,"Sometimes warm, sometimes cold",Cold,Not much,Sometimes,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Very slow,Depending on the incident. Thoughtful reaction. Reacts after due thinking,With high energy,Very easy to grasp things and understands properly,Medium memory – can remember if revised frequently,Remembers after reading for 3-4 times,Moderate. 5-7 hours,Sometimes,"Scary, flying, running, jumping, climbing on a tree or mountain","After proper thinking, calmly, slowly. Generally is firm on decision",Kapha,Kapha-Pitta,Manda-Agni
Medium,Optimum – as per age and height,Dusky,Black,"Big, attractive, black eyes (iris), white part of eye is milky white","Reddish/ pinkish, attractive, beautiful","Very small/ very big, teeth pushed forward, can be seen out of lips, broken, irregular in shape and size, dry","Small, beautiful, reddish/pinkish",Reddish/ pinkish in color,"Soft, delicate, smooth, oily (unctuous)","Weak, intolerant to strenuous activities, unable to lift heavy weight, easily tired by little work",Normal temperature (neither cold nor hot),Crepitus is heard on movements of joints,Size of stomach is medium/optimum (medium belly),"Irregular (sometimes intense, sometimes low hunger)","Digestive capacity is erratic – sometimes good, sometimes low. Sometimes ingestion leads to excess burping","Sometimes too much in quantity, sometimes too less","Sweet, sour, salty",Moderate,"Sometimes warm, sometimes cold","Sometimes warm, sometimes cold",Not much,Excess – excess as compared to people around,Slowly. Calmly. Emphasizing on each word while speaking,Fast,Medium speed,Depending on the incident. Thoughtful reaction. Reacts after due thinking,Sometimes with low energy/ lethargy,Slow to grasp things but understands completely,Medium memory – can remember if revised frequently,Remembers after speaking-repeating many times,"Excessive sleep. More than 8 hours, sound, continuous, deep sleep",Sometimes,"Scary, flying, running, jumping, climbing on a tree or mountain","Very stressed, confused, changes decision, unable to come to conclusion/ final decision",Vata,Vata-Kapha,Vishama-Agni
